Unnamed: 0,comment_ratio,cyclomatic_complexity,fanout_external,fanout_internal,halstead_bugprop,halstead_difficulty,halstead_effort,halstead_timerequired,halstead_volume,lang,loc,maintainability_index,operands_sum,operands_uniq,operators_sum,operators_uniq,pylint,tiobe,tiobe_compiler,tiobe_complexity,tiobe_coverage,tiobe_duplication,tiobe_fanout,tiobe_functional,tiobe_security,tiobe_standard,halstead_vocabulary
/humaneval-x/python/gpt-4o/problem_0.py,56.786,2,1,0,0.079,12.409,2958.551,164.364,238.418,python,12,59.544,21,11,31,13,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,24
/humaneval-x/python/gpt-4o/problem_1.py,51.163,5,1,0,0.133,19.0,7581.199,421.178,399.01,python,24,51.007,38,14,45,14,100.0,91.0,100.0,40.0,100.0,100.0,100.0,100.0,100.0,100.0,28
/humaneval-x/python/gpt-4o/problem_2.py,62.613,1,1,0,0.03,7.333,670.094,37.227,91.377,python,6,69.161,11,6,13,8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14
/humaneval-x/python/gpt-4o/problem_3.py,62.649,2,1,0,0.041,11.143,1372.687,76.26,123.19,python,9,64.277,13,7,16,12,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,19
/humaneval-x/python/gpt-4o/problem_4.py,55.294,3,1,0,0.091,14.083,3858.658,214.37,273.988,python,16,56.261,26,12,33,13,100.0,97.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,25
/humaneval-x/python/gpt-4o/problem_5.py,41.481,2,1,0,0.103,17.55,5398.419,299.912,307.602,python,13,58.011,27,10,41,13,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,23
/humaneval-x/python/gpt-4o/problem_6.py,42.857,4,1,0,0.117,18.462,6478.835,359.935,350.937,python,15,55.985,32,13,41,15,100.0,93.807,100.0,58.716,100.0,100.0,100.0,100.0,100.0,100.0,28
/humaneval-x/python/gpt-4o/problem_7.py,63.559,3,0,0,0.038,12.0,1359.598,75.533,113.3,python,3,74.805,12,5,17,10,100.0,97.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,15
/humaneval-x/python/gpt-4o/problem_8.py,54.403,2,1,0,0.06,12.667,2281.077,126.726,180.085,python,8,64.238,19,9,22,12,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,21
/humaneval-x/python/gpt-4o/problem_9.py,52.73,2,1,0,0.074,14.444,3220.701,178.928,222.972,python,13,58.989,20,9,30,13,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,22
