Unnamed: 0,comment_ratio,cyclomatic_complexity,fanout_external,fanout_internal,halstead_bugprop,halstead_difficulty,halstead_effort,halstead_timerequired,halstead_volume,lang,loc,maintainability_index,operands_sum,operands_uniq,operators_sum,operators_uniq,pylint,tiobe,tiobe_compiler,tiobe_complexity,tiobe_coverage,tiobe_duplication,tiobe_fanout,tiobe_functional,tiobe_security,tiobe_standard,halstead_vocabulary
/humaneval-x/python/chatgpt/problem_0.py,0.0,3,1,0,0.086,12.545,3234.758,179.709,257.843,python,7,64.277,23,11,34,12,100.0,97.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,23
/humaneval-x/python/chatgpt/problem_1.py,0.0,5,1,0,0.128,19.036,7331.527,407.307,385.146,python,16,54.956,41,14,40,13,100.0,91.0,100.0,40.0,100.0,100.0,100.0,100.0,100.0,100.0,27
/humaneval-x/python/chatgpt/problem_2.py,0.0,1,0,0,0.017,6.0,304.313,16.906,50.719,python,2,81.359,6,3,10,6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,9
/humaneval-x/python/chatgpt/problem_3.py,0.0,2,1,0,0.041,11.143,1372.687,76.26,123.19,python,8,65.393,13,7,16,12,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,19
/humaneval-x/python/chatgpt/problem_4.py,34.977,2,1,0,0.073,12.1,2657.352,147.631,219.616,python,12,59.793,22,10,28,11,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,21
/humaneval-x/python/chatgpt/problem_5.py,0.0,3,1,0,0.09,16.25,4410.473,245.026,271.414,python,8,62.856,25,10,35,13,100.0,97.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,23
/humaneval-x/python/chatgpt/problem_6.py,0.0,4,1,0,0.069,13.0,2705.09,150.283,208.084,python,11,60.513,20,10,26,13,100.0,93.807,100.0,58.716,100.0,100.0,100.0,100.0,100.0,100.0,23
/humaneval-x/python/chatgpt/problem_7.py,0.0,3,1,0,0.045,13.75,1854.686,103.038,134.886,python,4,71.549,15,6,18,11,100.0,97.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,17
/humaneval-x/python/chatgpt/problem_8.py,0.0,2,1,0,0.077,14.3,3299.034,183.28,230.702,python,11,60.468,22,10,29,13,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,23
/humaneval-x/python/chatgpt/problem_9.py,0.0,2,1,0,0.07,12.0,2515.119,139.729,209.593,python,8,63.777,20,10,27,12,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,22
/humaneval-x/python/chatgpt/problem_10.py,13.293,2,0,0,0.104,17.889,5583.583,310.199,312.126,python,10,60.452,23,9,46,14,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,23
/humaneval-x/python/chatgpt/problem_11.py,35.016,4,1,0,0.152,23.692,10814.809,600.823,456.469,python,15,55.186,44,13,52,14,100.0,93.807,100.0,58.716,100.0,100.0,100.0,100.0,100.0,100.0,27
/humaneval-x/python/chatgpt/problem_12.py,0.0,3,1,0,0.066,15.0,2982.13,165.674,198.809,python,9,62.687,20,8,26,12,100.0,97.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,20
/humaneval-x/python/chatgpt/problem_13.py,0.0,2,0,0,0.031,18.0,1677.762,93.209,93.209,python,4,72.808,12,3,14,9,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,12
/humaneval-x/python/chatgpt/problem_14.py,0.0,2,1,0,0.064,12.278,2354.332,130.796,191.756,python,6,66.773,17,9,26,13,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,22
/humaneval-x/python/chatgpt/problem_15.py,0.0,2,0,0,0.035,6.429,668.571,37.143,104.0,python,2,79.041,10,7,16,9,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,16
/humaneval-x/python/chatgpt/problem_16.py,52.459,2,0,0,0.05,7.5,1125.88,62.549,150.117,python,14,59.49,15,9,21,9,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,18
/humaneval-x/python/chatgpt/problem_17.py,0.0,5,1,0,0.087,12.0,3136.114,174.229,261.343,python,14,57.401,24,12,33,12,100.0,91.0,100.0,40.0,100.0,100.0,100.0,100.0,100.0,100.0,24
/humaneval-x/python/chatgpt/problem_18.py,0.0,2,0,0,0.076,14.4,3275.007,181.945,227.431,python,10,61.414,24,10,27,12,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,22
/humaneval-x/python/chatgpt/problem_19.py,32.999,5,1,0,0.171,11.538,5934.519,329.696,514.325,python,26,49.477,40,26,56,15,100.0,91.0,100.0,40.0,100.0,100.0,100.0,100.0,100.0,100.0,41
/humaneval-x/python/chatgpt/problem_20.py,0.0,3,1,0,0.143,19.0,8129.237,451.624,427.855,python,13,56.873,38,14,51,14,100.0,97.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,28
/humaneval-x/python/chatgpt/problem_21.py,0.0,2,1,0,0.069,12.222,2535.531,140.863,207.453,python,6,66.533,20,9,28,11,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,20
/humaneval-x/python/chatgpt/problem_22.py,0.0,3,1,0,0.041,10.833,1343.333,74.63,124.0,python,3,74.53,13,6,18,10,100.0,97.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,16
/humaneval-x/python/chatgpt/problem_23.py,0.0,1,0,0,0.016,3.75,174.401,9.689,46.507,python,2,81.623,5,4,9,6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10
/humaneval-x/python/chatgpt/problem_24.py,0.0,2,0,0,0.043,11.667,1493.333,82.963,128.0,python,5,69.729,14,6,18,10,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,16
/humaneval-x/python/chatgpt/problem_25.py,0.0,4,1,0,0.111,15.0,4975.612,276.423,331.707,python,14,56.81,30,14,39,14,100.0,93.807,100.0,58.716,100.0,100.0,100.0,100.0,100.0,100.0,28
/humaneval-x/python/chatgpt/problem_26.py,0.0,3,1,0,0.059,12.75,2259.288,125.516,177.199,python,7,65.418,17,8,24,12,100.0,97.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,20
/humaneval-x/python/chatgpt/problem_27.py,0.0,5,0,0,0.074,11.667,2577.076,143.171,220.892,python,10,61.1,21,9,31,10,100.0,91.0,100.0,40.0,100.0,100.0,100.0,100.0,100.0,100.0,19
/humaneval-x/python/chatgpt/problem_28.py,0.0,1,1,0,0.023,7.875,553.678,30.76,70.308,python,3,76.525,7,4,12,9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,13
/humaneval-x/python/chatgpt/problem_29.py,0.0,3,1,0,0.051,13.714,2097.262,116.515,152.925,python,4,71.167,16,7,20,12,100.0,97.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,19
/humaneval-x/python/chatgpt/problem_30.py,0.0,3,0,0,0.019,7.0,401.516,22.306,57.359,python,2,80.716,7,4,9,8,100.0,97.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,12
/humaneval-x/python/chatgpt/problem_31.py,0.0,2,0,0,0.045,8.938,1214.907,67.495,135.934,python,7,66.358,13,8,19,11,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,19
/humaneval-x/python/chatgpt/problem_32.py,23.832,7,1,0,0.248,26.818,19956.477,1108.693,744.14,python,21,50.108,59,22,79,20,100.0,87.727,100.0,18.182,100.0,100.0,100.0,100.0,100.0,100.0,42
/humaneval-x/python/chatgpt/problem_33.py,0.0,6,0,0,0.095,13.0,3695.48,205.304,284.268,python,8,62.312,26,12,36,12,100.0,89.017,100.0,26.778,100.0,100.0,100.0,100.0,100.0,100.0,24
/humaneval-x/python/chatgpt/problem_34.py,0.0,1,0,0,0.017,3.0,153.0,8.5,51.0,python,2,81.342,6,4,11,4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,8
/humaneval-x/python/chatgpt/problem_35.py,0.0,1,0,0,0.01,2.667,82.349,4.575,30.881,python,2,82.868,4,3,7,4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,7
/humaneval-x/python/chatgpt/problem_36.py,0.0,5,0,0,0.061,10.45,1927.788,107.099,184.477,python,7,65.026,19,10,23,11,100.0,91.0,100.0,40.0,100.0,100.0,100.0,100.0,100.0,100.0,21
/humaneval-x/python/chatgpt/problem_37.py,0.0,5,0,0,0.112,13.538,4531.354,251.742,334.702,python,8,61.95,32,13,41,11,100.0,91.0,100.0,40.0,100.0,100.0,100.0,100.0,100.0,100.0,24
/humaneval-x/python/chatgpt/problem_38.py,38.706,8,0,0,0.278,37.714,31460.179,1747.788,834.171,python,13,54.17,66,14,104,16,100.0,86.901,100.0,12.673,100.0,100.0,100.0,100.0,100.0,100.0,30
/humaneval-x/python/chatgpt/problem_39.py,0.0,4,0,0,0.251,23.8,17920.079,995.56,752.945,python,31,46.786,68,20,80,14,100.0,93.807,100.0,58.716,100.0,100.0,100.0,100.0,100.0,100.0,34
/humaneval-x/python/chatgpt/problem_40.py,0.0,4,0,0,0.088,13.889,3657.938,203.219,263.372,python,7,64.078,25,9,37,10,100.0,93.807,100.0,58.716,100.0,100.0,100.0,100.0,100.0,100.0,19
